timestamp,x,y,target
1773253197830,715,576,INPUT#name-input
1773253198211,715,575,INPUT#name-input
1773253198232,716,574,INPUT#name-input
1773253198239,717,574,INPUT#name-input
1773253198247,719,572,INPUT#name-input
1773253198254,720,570,INPUT#name-input
1773253198261,723,568,INPUT#name-input
1773253198269,728,564,INPUT#name-input
1773253198276,734,559,INPUT#name-input
1773253198284,740,554,DIV
1773253198291,746,546,DIV
1773253198301,754,537,DIV
1773253198307,760,524,DIV
1773253198314,766,509,DIV
1773253198322,770,490,DIV
1773253198329,773,467,DIV
1773253198337,774,445,DIV
1773253198344,769,416,DIV
1773253198353,754,379,DIV
1773253198360,730,339,DIV
1773253198367,696,298,DIV
1773253198374,659,263,DIV
1773253198384,618,232,DIV
1773253198390,573,206,P
1773253198397,515,183,P
1773253198404,453,165,P
1773253198411,388,148,P
1773253198420,326,134,P
1773253198427,261,126,P
1773253198434,195,122,P
1773253198441,133,119,P
1773253198449,75,121,DIV
1773253198457,28,128,BODY
1773253198578,11,417,BODY
1773253198585,69,421,DIV
1773253198592,128,421,DIV
1773253198599,186,416,DIV
1773253198606,242,402,DIV
1773253198614,289,384,DIV
1773253198621,332,361,DIV
1773253198630,364,339,BUTTON#share-btn
1773253198639,385,318,DIV
1773253198646,401,296,DIV
1773253198656,410,276,DIV
1773253198660,414,258,DIV
1773253198668,414,241,DIV
1773253198678,409,222,DIV
1773253198683,399,206,P
1773253198690,385,189,P
1773253198698,368,174,P
1773253198704,346,162,P
1773253198712,322,154,P
1773253198719,293,150,P
1773253198726,259,146,P
1773253198734,223,149,P
1773253198742,190,161,P
1773253198749,156,175,P
1773253198757,124,195,P
1773253198765,96,220,DIV
1773253198773,73,248,DIV
1773253198779,56,277,DIV
1773253198786,48,304,DIV
1773253198794,46,330,DIV
1773253198801,50,356,DIV
1773253198809,59,381,DIV
1773253198816,74,401,DIV
1773253198824,99,419,DIV
1773253198832,129,434,DIV
1773253198839,164,445,H3
1773253198846,198,452,H3
1773253198855,234,455,H3
1773253198862,270,457,H3
1773253198869,301,456,H3
1773253198877,330,451,H3
1773253198884,350,444,H3
1773253198892,364,438,DIV
1773253198899,373,431,DIV
1773253198906,378,426,DIV
1773253198914,381,418,DIV
1773253198921,383,411,DIV
1773253198929,383,405,DIV
1773253198936,382,396,DIV
1773253198945,378,389,DIV
1773253198951,374,384,DIV
1773253198959,369,380,DIV
1773253198967,364,377,DIV
1773253198974,358,374,DIV
1773253198982,351,374,DIV
1773253198989,345,374,DIV
1773253198996,335,377,DIV
1773253199004,326,382,DIV
1773253199012,318,388,DIV
1773253199019,310,398,DIV
1773253199027,303,409,DIV
1773253199034,298,423,DIV
1773253199042,297,436,DIV
1773253199049,297,450,H3
1773253199057,302,463,H3
1773253199064,310,474,DIV
1773253199071,322,486,P
1773253199079,342,497,P
1773253199087,367,506,P
1773253199094,394,513,DIV
1773253199102,428,516,DIV
1773253199109,463,518,DIV
1773253199116,502,517,DIV
1773253199124,541,514,DIV
1773253199132,581,504,P
1773253199139,609,494,P
1773253199146,635,482,DIV
1773253199153,654,468,DIV
1773253199161,669,454,H3
1773253199169,679,441,DIV
1773253199177,687,425,DIV
1773253199183,690,411,DIV
1773253199191,691,398,DIV
1773253199198,691,384,DIV
1773253199206,689,370,DIV
1773253199214,685,356,DIV
1773253199221,678,346,DIV
1773253199230,670,335,DIV
1773253199237,661,327,DIV
1773253199244,651,321,DIV
1773253199251,640,317,DIV
1773253199259,628,314,DIV
1773253199267,616,309,DIV
1773253199274,604,306,DIV
1773253199281,593,306,DIV
1773253199289,582,306,DIV
1773253199296,572,306,DIV
1773253199304,561,307,DIV
1773253199311,553,308,DIV
1773253199319,547,310,DIV
1773253199327,542,311,DIV
1773253199334,541,313,DIV
1773253199348,540,313,DIV
1773253199356,540,314,DIV
1773253199379,539,314,DIV
1773253199393,538,314,DIV
1773253199401,538,315,DIV
1773253199409,538,316,DIV
1773253199417,537,317,DIV
1773253199424,536,317,DIV
1773253199432,536,318,DIV
1773253199438,536,318,DIV
1773253199552,535,319,DIV
1773253200346,535,321,P
1773253200354,535,322,P
1773253200361,537,326,P
1773253200369,538,329,P
1773253200392,540,331,P
1773253200395,542,334,P
1773253200403,542,335,P
1773253200409,544,338,P
1773253200416,546,340,P
