timestamp,y
1773253199506,1246.4000244140625
1773253199513,1244
1773253199520,1241.5999755859375
1773253199527,1236
1773253199534,1222.4000244140625
1773253199541,1197.5999755859375
1773253199555,1068
1773253199569,1004
1773253199590,941.5999755859375
1773253199604,930.4000244140625
1773253200028,928.7999877929688
1773253200035,925.5999755859375
1773253200041,917.5999755859375
1773253200049,894.4000244140625
1773253200056,860.7999877929688
1773253200070,766.4000244140625
1773253200090,588
1773253200111,508
1773253283533,479.8333435058594
1773253362005,508
